Country,GDP_per_capita_PPP,Population,LogPopulation,TotalGDP,LogGDPperCapita,Life Expectancy Both,Life Expectancy Female,Life Expectancy Male,Urban Population Percentage,Urban Population Absolute,Population Density
Afghanistan,2144.1665,40000360,7.602063899960711,85767431899.93999,3.3312585064048905,66.5,68.1,64.9,26.7,11704638.0,67.0
Albania,16353.809,2849591,6.454782530468232,46601666942.118996,4.2136189212178214,80.0,81.7,78.1,70.3,1948831.0,101.0
Algeria,14496.865,44761051,7.650900275312562,648894913605.115,4.16127409462075,76.7,78.1,75.3,74.4,35291973.0,20.0
Angola,7408.1265,34532382,7.538226536466343,255820254202.323,3.8697083896812887,65.0,67.5,62.4,68.8,26847887.0,31.0
Argentina,26300.273,45312226,7.656215397773324,1191723914037.698,4.419960256542161,77.7,80.2,75.1,96.0,44010474.0,17.0
Armenia,15921.705,2870293,6.457926231851837,45699958409.565,4.201989572977212,76.0,79.7,71.8,63.8,1882155.0,104.0
Aruba,35696.31,107524,5.031505412197983,3838210036.4399996,4.552623324530551,76.6,79.1,74.0,44.7,48340.0,601.0
Australia,57321.562,25956358,7.414243755483338,1487858984391.196,4.75831801631599,84.2,86.0,82.4,86.5,23335357.0,4.0
Austria,63576.242,8967006,6.952647460354016,570088543471.452,4.803294853133673,82.3,84.6,80.0,58.6,5337973.0,111.0
Azerbaijan,20111.375,10234332,7.010059501304194,205826488726.5,4.303441764007912,74.7,77.4,71.9,58.7,6101378.0,126.0
Bahamas,29340.473,396326,5.59805256409836,11628392302.198,4.46746711085812,74.9,78.5,71.2,88.4,356391.0,40.0
Bahrain,54954.676,1501708,6.1765854943744705,82525876586.608,4.740004651711246,81.6,82.3,81.0,0.0,0.0,162.0
Bangladesh,7441.0693,167658798,8.224426348236639,1247560734672.7014,3.871635349218033,75.2,76.9,73.6,42.6,74837709.0,350.0
Barbados,15683.885,282111,5.450420020384942,4424596481.235,4.195453649233339,76.5,78.9,73.9,32.5,91766.0,657.0
Belarus,27611.18,9251315,6.966203468593448,255439723701.7,4.441084967180299,74.8,79.4,69.9,84.4,7589573.0,44.0
Belgium,61873.965,11570794,7.063363161716405,715930902978.21,4.791507947318624,82.4,84.6,80.3,98.8,11613585.0,388.0
Belize,11677.461,395312,5.5969399978863095,4616240462.832,4.067348425519822,73.9,76.8,71.2,48.6,205478.0,19.0
Benin,3464.2886,13413371,7.12753793689102,46467788242.8706,3.539614064686701,61.1,62.6,59.7,47.8,7076087.0,131.0
Bhutan,13458.8125,775407,5.8895297172897765,10436057424.1875,4.129006742841276,73.5,75.6,71.8,50.3,400623.0,21.0
Bolivia,9454.198,11937318,7.076906763255824,112857767960.964,3.9756246935250674,68.9,71.5,66.4,70.6,8887268.0,12.0
Botswana,17961.357,2401410,6.380466314799339,43132582313.37,4.254339144989907,69.4,72.0,66.9,75.6,1937024.0,5.0
Brazil,18075.705,209550238,8.321288158426976,3787768284767.7905,4.257095244923072,76.2,79.3,73.1,91.4,194451506.0,25.0
Bulgaria,29536.678,6877173,6.837409949454768,203128844451.294,4.470361648477698,76.0,79.5,72.5,77.1,5179498.0,62.0
Burkina Faso,2486.431,21995205,7.342328014048908,54689559563.355,3.3955764117946505,61.5,63.6,59.3,33.7,8113116.0,88.0
Burundi,836.6656,12965439,7.112787226238405,10847736800.1984,2.9225519130788147,64.0,66.1,61.9,14.9,2146694.0,560.0
Cambodia,6225.5327,16974258,7.22979079894378,105673798237.2366,3.794176518622766,71.0,73.5,68.3,26.5,4721141.0,101.0
Cameroon,4793.556,26915707,7.430005791997371,129021948784.092,3.680657805317177,64.2,66.5,62.0,59.4,17739676.0,63.0
Canada,55781.7,38454011,7.584941646200264,2145030105398.7,4.746491745666297,82.9,85.0,80.7,80.2,32164167.0,4.0
Central African Republic,1128.5524,5112047,6.708594838058563,5769212910.7628,3.0525217286796433,57.9,59.8,55.7,44.5,2451673.0,9.0
Chad,1700.167,17828225,7.251108106435106,30310959813.574997,3.230491582329066,55.4,57.4,53.5,22.4,4700984.0,17.0
Chile,29105.102,19456275,7.289059696066042,566276868415.0499,4.463969125626037,81.5,83.4,79.7,84.8,16850412.0,27.0
China,20406.73,1426437224,9.154252663570873,29108919292117.52,4.309773418398947,78.4,81.2,75.7,67.5,956553854.0,151.0
Colombia,17700.06,51188120,7.709169179391636,906032795287.2001,4.247974738543996,78.1,80.8,75.4,80.5,43010759.0,48.0
Comoros,3441.2117,818133,5.9128239106039135,2815368851.7560997,3.536711390817305,67.2,69.4,65.2,33.6,296345.0,474.0
Congo,6263.2114,5892137,6.7702728362107,36903699628.7618,3.7967970705395713,66.2,67.9,64.5,69.8,4524254.0,19.0
Costa Rica,24140.434,5059939,6.704145281242352,122149123473.526,4.382745073636676,81.2,83.7,78.6,85.2,4390911.0,101.0
Croatia,36914.113,3924558,6.593790751789512,144871577487.054,4.567192437330241,78.9,82.0,75.8,61.7,2374884.0,69.0
Cyprus,49929.84,1317269,6.11967447145864,65771030406.96,4.698360174362171,82.0,83.9,80.0,61.1,838047.0,148.0
Denmark,70342.32,5856724,6.767654758243205,411975553759.68005,4.847216687930061,82.2,84.1,80.4,87.4,5248366.0,141.0
Djibouti,5947.861,1121203,6.049684251130437,6668759596.783,3.774360810616837,66.4,69.0,63.9,71.3,843657.0,51.0
Dominican Republic,21912.26,11123434,7.046238882301928,243739577900.84,4.3406871723992175,74.0,77.2,70.8,86.4,9950299.0,238.0
Ecuador,13539.711,17682398,7.247541161556412,239414558706.978,4.131609394596928,77.8,80.5,75.1,66.0,12062680.0,74.0
Egypt,15579.016,110956950,8.045154510282469,1728600099361.2,4.1925400233451535,72.0,74.2,69.8,40.9,48427431.0,119.0
El Salvador,10809.714,6255737,6.796278482083492,67622727829.218,4.033814203679032,72.5,76.7,68.0,79.9,5085472.0,307.0
Equatorial Guinea,16821.45,1758752,6.245204604309736,29584758830.4,4.225863429027703,64.1,66.1,62.4,63.6,1232213.0,69.0
Estonia,45063.543,1331699,6.124406073624548,60011075149.557,4.653825333967029,79.5,83.3,75.4,66.9,899102.0,32.0
Eswatini,9846.207,1206548,6.081544604090197,11879921363.436,3.9932689618463204,64.4,67.3,61.4,31.3,392638.0,73.0
Ethiopia,2588.413,122138537,8.086852713624213,316144976971.781,3.413033572348627,67.9,71.3,64.6,22.5,30487323.0,135.0
Fiji,10685.197,916669,5.962212544586056,9794788848.793,4.0287825335402605,67.6,69.7,65.6,60.8,567088.0,51.0
Finland,57350.87,5541019,6.743589639346154,317782260336.53,4.7585400104383915,82.2,84.9,79.6,86.7,4874169.0,19.0
France,53901.11,66083491,7.820092977441706,3561973517575.0103,4.731597708821455,83.6,86.3,80.7,82.5,55018724.0,122.0
Gabon,18523.58,2376684,6.3759714424857385,44024696208.72,4.267724925326052,68.7,71.4,66.2,83.7,2171202.0,10.0
Gambia,2777.7961,2575965,6.410939957907444,7155505530.7365,3.443700363829668,66.3,68.0,64.5,61.3,1731095.0,279.0
Georgia,18915.654,3788400,6.578455827939842,71660063613.59999,4.27682136141946,74.8,79.4,69.9,62.0,2358908.0,55.0
Germany,62950.047,83697031,7.922710052459372,5268732035210.457,4.7989960586985765,81.7,84.0,79.4,76.5,64345635.0,241.0
Ghana,6607.503,32518607,7.512131933441997,214866793308.32098,3.820037368986215,65.9,68.4,63.5,58.6,20539206.0,154.0
Greece,33577.51,10579511,7.024465594456294,355233636397.61005,4.526048487116048,82.2,84.6,79.7,89.5,8897137.0,77.0
Grenada,15298.123,116645,5.066866127450825,1784449557.335,4.184638148415697,75.5,78.6,72.7,35.5,41685.0,345.0
Guatemala,11828.33,17598598,7.245478070932538,208162024681.34,4.072923432457039,72.9,75.2,70.6,56.6,10568383.0,174.0
Guinea,3738.8052,13710470,7.137052342820718,51260776530.444,3.572732838042967,61.1,62.3,59.8,40.3,6082701.0,61.0
Guinea-Bissau,2450.978,2058795,6.313613104849627,5046061251.51,3.389339413038499,64.4,66.7,62.0,46.2,1038474.0,80.0
Guyana,22865.932,815445,5.911394674141442,18645909919.74,4.359188907628273,70.4,74.2,66.7,26.6,222762.0,4.0
Haiti,3134.9502,11374546,7.055934071383689,35658635257.6092,3.4962306462713664,65.3,68.7,62.1,61.7,7343428.0,432.0
Honduras,6202.981,10289829,7.012408157563844,63827613780.249,3.792600450904158,73.2,75.9,70.6,58.3,6421078.0,98.0
Hong Kong,65884.94,7484547,6.874165519929057,493118930022.18,4.8187861547707564,85.8,88.4,83.1,0.0,0.0,44.0
Hungary,38648.0,9707794,6.987120552001421,375186822512.0,4.587127024478463,77.3,80.5,74.1,72.0,6937818.0,106.0
Iceland,62032.27,372597,5.571239353811188,23113037705.19,4.7926176739657995,83.2,84.6,81.8,84.0,334395.0,4.0
India,8050.0186,1414203840,9.150512012153156,11384367216191.424,3.9057968838297357,72.5,74.1,71.0,37.1,542742539.0,492.0
Indonesia,12757.074,276758010,8.442100199192888,3530622413662.74,4.105751074747691,71.4,73.6,69.3,59.6,170361295.0,158.0
Iran,14951.895,88455443,7.946724561860041,1322576495914.485,4.174696238539267,78.1,80.0,76.2,73.3,67760281.0,57.0
Iraq,12731.754,43071162,7.634186588581279,548371439078.148,4.104888238692707,72.5,74.3,70.6,72.4,34038857.0,108.0
Ireland,118102.766,5028387,6.701428694928134,593866413218.442,5.072260069031549,82.7,84.7,80.8,62.1,3294830.0,77.0
Israel,46238.223,8942868,6.951476820454329,413502324843.56396,4.665001135184884,82.8,84.8,80.7,91.4,8698204.0,440.0
Italy,50465.086,59729300,7.776187425044766,3014244261219.8003,4.702991017692176,84.0,86.0,81.9,72.0,42568771.0,201.0
Jamaica,9577.164,2837634,6.452956379130338,27176486189.976,3.9812369243715726,71.7,74.3,69.2,60.2,1706544.0,262.0
Japan,44549.34,125679288,8.099263711667922,5598929332069.92,4.648841274332909,85.0,88.0,82.0,93.1,114645589.0,338.0
Jordan,9182.496,11066310,7.044002831918587,101616347309.76,3.9629607478337423,78.1,80.5,76.1,85.1,9802267.0,130.0
Kazakhstan,32945.85,19743565,7.295425573867492,650468530955.25,4.517800716787108,74.7,78.6,70.4,55.1,11494249.0,8.0
Kenya,5338.8525,53219122,7.726067705358164,284129042537.505,3.727447922483501,64.0,66.3,61.8,31.9,18371967.0,101.0
Kiribati,3049.4739,128346,5.108382338102923,391387777.1694,3.484224920646832,66.7,68.5,64.8,57.3,78192.0,169.0
Kuwait,50689.043,4360703,6.639556508628594,221039861877.229,4.704914091899224,80.8,82.1,79.6,91.6,4602914.0,282.0
Kyrgyzstan,5736.479,6820433,6.83381194702324,39125270675.407005,3.758645408066192,72.0,75.6,68.4,35.3,2573712.0,38.0
Laos,8080.4355,7453143,6.872339453917105,60224641283.7765,3.907434767971368,69.5,71.8,67.3,38.3,3018824.0,34.0
Latvia,35604.9,1885546,6.275437131969683,67134676775.4,4.551509770347099,76.5,80.7,71.9,67.5,1250246.0,30.0
Lebanon,11599.775,5718083,6.757250455005948,66328476231.325,4.06444956532984,78.1,80.0,76.0,86.0,5032693.0,572.0
Lesotho,2544.7825,2261496,6.354395823928295,5755015444.62,3.4056506695465067,58.2,60.9,55.4,32.8,774177.0,78.0
Liberia,1539.2089,5259278,6.720926127777705,8095127505.1742,3.187297565874685,62.5,63.8,61.1,55.0,3150252.0,60.0
Libya,12641.51,7135138,6.8534023771786154,90198918378.38,4.1017989525460585,73.2,75.3,71.2,77.5,5780434.0,4.0
Lithuania,46575.69,2794443,6.44629525546635,130153110890.67001,4.668159297512946,76.3,80.9,71.6,68.2,1929035.0,45.0
Luxembourg,137947.34,640233,5.806338055544667,88318439330.22,5.139713330516837,82.5,84.1,80.9,87.2,593272.0,263.0
Macao,74177.78,694363,5.8415865708609065,51506305854.14,4.870273831578504,83.4,85.5,81.3,97.1,701381.0,67.0
Madagascar,1599.4127,29691033,7.472625307680096,47488215256.3191,3.2039605401731923,64.0,65.8,62.3,40.3,13199949.0,56.0
Malawi,1687.5936,20047218,7.302054113062053,33831556794.604797,3.2272678697022856,67.7,71.0,64.4,19.8,4407124.0,236.0
Malaysia,29822.85,34282367,7.535070799819129,1022397888685.95,4.474549144151506,77.0,79.7,74.6,77.4,27844592.0,110.0
Maldives,19052.623,516123,5.712753212975233,9833496940.629,4.279954774027805,81.5,83.2,80.2,39.6,209810.0,766.0
Mali,2347.6274,22388587,7.350026685027567,52560060288.483795,3.370629169677522,60.9,62.4,59.5,44.4,11190626.0,21.0
Malta,58199.4,524335,5.719608848367043,30515982399.0,4.76491850736411,83.6,85.5,81.7,76.5,417398.0,704.0
Mauritania,5836.566,4734824,6.675303840308794,27635112774.384,3.7661574008975016,68.9,71.0,66.9,60.3,3206736.0,5.0
Mauritius,22737.572,1279587,6.107069819207518,29094701542.764,4.3567440872954295,75.3,78.5,72.3,41.5,526689.0,625.0
Mexico,21031.709,127648107,8.106014378673757,2684657840824.863,4.322874564132515,75.4,78.2,72.6,87.9,115925945.0,68.0
Moldova,15682.07,3023731,6.480543152433655,47418361203.17,4.195403388083277,71.5,75.8,66.8,57.7,1729211.0,91.0
Mongolia,14792.251,3339627,6.523697963551752,49400600830.377,4.170034267471703,72.2,76.9,67.8,67.2,2362934.0,2.0
Montenegro,24509.936,603805,5.780896705016027,14799221906.480001,4.389342177229919,77.4,80.6,74.1,68.7,434519.0,47.0
Morocco,8623.266,36954394,7.567666084855283,318667569330.804,3.9356717828941425,75.7,78.0,73.5,67.3,25869035.0,86.0
Mozambique,1457.2354,31707757,7.5011655212142,46205665954.9978,3.1635297128292255,64.0,66.9,60.7,41.6,14810679.0,45.0
Myanmar,5178.4473,53387059,7.727435996991049,276462071533.49066,3.7141995608790186,67.3,70.6,64.2,34.1,18722491.0,84.0
Namibia,9709.1,2810509,6.448784980358036,27287512931.9,3.9871789741768957,67.7,71.6,63.6,54.4,1683548.0,4.0
Nepal,4546.2295,29474963,7.4694532685964425,133999946302.00851,3.6576513557329466,70.9,72.4,69.3,24.5,7265589.0,207.0
Netherlands,69323.33,17730519,7.24872144826517,1229138619708.27,4.840879416215704,82.4,84.0,80.9,88.9,16318658.0,544.0
New Zealand,48194.043,5107644,6.708220619557801,246158014564.692,4.682993360809177,82.4,84.0,80.8,83.6,4388310.0,20.0
Nicaragua,7086.6226,6644688,6.822474593546699,47088396150.748795,3.850439304907455,75.3,77.7,72.6,58.1,4071293.0,58.0
Niger,1585.5992,24502100,7.389203308010562,38850510158.32,3.20019341802183,61.7,62.7,60.7,18.2,5067678.0,22.0
Nigeria,5491.7,218529237,8.339509549399498,1200097010832.9,3.739706804620217,54.8,55.1,54.5,54.9,130312056.0,261.0
North Macedonia,22371.496,1851059,6.267420261522258,41410959014.264,4.34969502669034,77.7,79.8,75.4,69.4,1258951.0,72.0
Norway,89209.14,5408030,6.733039092104867,482445705394.2,4.950409352674451,83.6,85.1,82.1,85.9,4830373.0,15.0
Oman,38719.457,4500378,6.6532489929797185,174252192454.746,4.587929258151923,80.5,82.2,78.9,90.8,4989686.0,18.0
Pakistan,5367.2734,239477758,8.379265183611002,1285342600405.037,3.7297537180906857,67.9,70.5,65.6,34.4,87777053.0,331.0
Panama,30932.764,4345360,6.638025762266137,134413995375.04,4.490418728160822,80.0,82.8,77.1,70.7,3229574.0,61.0
Papua New Guinea,3976.9038,10012849,7.000557666783448,39820137236.9262,3.599545085671807,66.4,69.3,63.9,12.6,1351201.0,24.0
Paraguay,15406.167,6684130,6.825044887919979,102976823029.70999,4.1876946012225345,74.1,77.2,71.1,68.0,4770669.0,18.0
Peru,15282.273,33155845,7.5205601006890115,506696674835.685,4.184187953581428,78.1,80.5,75.8,80.6,27880400.0,27.0
Philippines,8857.79,113100906,8.053466083875275,1001824074157.7401,3.9473253798410073,70.1,73.1,67.1,49.3,57606092.0,392.0
Poland,41774.582,38040252,7.580243385285538,1589115626474.664,4.62091211299986,79.0,82.6,75.3,59.2,22598335.0,125.0
Portugal,38862.09,10390906,7.016653416050578,403812324153.54,4.589526153213311,82.7,85.4,79.9,66.5,6926293.0,114.0
Puerto Rico,40559.7,3253158,6.51230515669156,131947112532.59999,4.608094734076108,82.1,85.5,78.5,0.0,0.0,365.0
Qatar,116832.57,2814939,6.449468988085967,328876557763.23004,5.067563930100526,82.7,83.6,82.0,96.6,3010901.0,268.0
Romania,38071.176,19248115,7.284388204744118,732798373833.24,4.5805962921656285,76.2,79.8,72.7,55.2,10431178.0,82.0
Russia,38938.496,145836117,8.163865092372623,5678639058460.032,4.5903791728769985,73.5,79.3,67.7,75.0,108062384.0,9.0
Rwanda,2731.09,13355214,7.125650851419504,36474291403.26,3.436336012061864,68.2,70.4,65.9,18.3,2659944.0,591.0
Saint Lucia,19101.166,178489,5.251611456378157,3409348018.1740003,4.281059878866041,73.0,76.6,69.6,19.9,35853.0,295.0
Samoa,6214.017,213745,5.329895964346141,1328215063.665,3.793372437041919,71.9,74.0,70.1,16.3,35747.0,77.0
Saudi Arabia,55768.234,31328320,7.495937106203369,1747125080586.88,4.746386892004587,79.2,81.5,77.6,92.1,31842626.0,16.0
Senegal,4173.6772,17220821,7.23605385253402,71874147972.9812,3.620518856880871,69.2,71.3,67.2,52.3,9903731.0,98.0
Serbia,23668.523,6835386,6.83476304457123,161783490754.87802,4.37417115725465,77.1,80.3,73.9,73.6,4923756.0,76.0
Seychelles,29979.828,122951,5.089732065345706,3686049832.428,4.476829136889006,73.1,76.8,70.2,43.8,58120.0,289.0
Sierra Leone,2848.706,8094551,6.908192763697114,23058996001.006,3.45464763029733,62.1,63.9,60.4,45.5,4017056.0,122.0
Singapore,131864.1,5546240,6.743998658682243,731349945984.0,5.120126574969747,84.0,86.5,81.5,0.0,0.0,387.0
Slovakia,38437.492,5442712,6.73581535432076,209204198958.304,4.5847550427297366,78.7,81.8,75.4,54.0,2955290.0,114.0
Slovenia,46274.28,2113450,6.324991977747741,97798377066.0,4.665339670116253,81.9,84.6,79.3,55.7,1179249.0,105.0
Solomon Islands,2518.4216,762546,5.8822660472891055,1920412317.3936,3.401128435552136,70.8,72.3,69.5,22.8,190885.0,30.0
Somalia,1392.4642,17271386,7.237327190375753,24049786689.3812,3.143784038357569,59.1,61.7,56.6,46.6,9168559.0,31.0
South Africa,13711.294,61502553,7.788893143918498,843279585933.582,4.137078443158624,66.5,70.0,63.0,66.6,43112579.0,53.0
South Korea,48571.434,51848358,7.714735007150691,2518349098605.372,4.686380925566791,84.5,87.4,81.4,82.4,42587468.0,531.0
Spain,44091.11,47735610,7.678842476664015,2104716031427.1,4.644351032389643,84.0,86.6,81.3,79.3,37995950.0,96.0
Sri Lanka,14316.135,22700326,7.356032094152791,324980931560.01,4.155825785099261,77.9,80.9,74.7,18.1,4193316.0,370.0
Sudan,3248.9756,48066876,7.681845897039204,156168107292.22562,3.5117464497798396,66.7,70.0,63.6,35.3,18220482.0,29.0
Suriname,18458.234,617863,5.790892188778336,11404659833.942,4.266190147353832,73.9,77.1,70.7,62.4,399428.0,4.0
Sweden,63124.598,10416075,7.0177040983332635,657510547112.85,4.800198625393052,83.6,85.3,81.8,87.4,9309134.0,26.0
Switzerland,81603.21,8706973,6.939867197730534,710516946183.3301,4.911707242796352,84.2,86.1,82.3,74.4,6668094.0,227.0
Syria,4592.8384,21628791,7.335032244048281,99337541850.37439,3.662081164942647,73.0,75.4,70.6,53.6,13735765.0,140.0
Tajikistan,3985.9126,9966868,6.99855870655519,39727064743.7368,3.600527771596314,72.1,74.3,69.8,27.7,2987515.0,77.0
Tanzania,3493.083,62830365,7.798169582667164,219471679865.295,3.543208905137716,67.4,70.2,64.6,40.0,28244987.0,80.0
Thailand,20245.242,71727293,7.855684440798541,1452136404789.9058,4.306322972442366,76.8,81.2,72.6,53.5,38343775.0,140.0
Togo,2577.202,8878342,6.948331870341528,22881280759.084003,3.411148459702334,63.1,63.4,62.9,44.2,4295574.0,179.0
Tonga,7034.925,105450,5.023046584075505,741832841.25,3.8472594717409465,73.2,76.7,69.6,26.0,26950.0,144.0
Tunisia,12375.343,12048573,7.080935613307213,149105223535.539,4.092557244853519,76.9,79.5,74.3,71.7,8853818.0,79.0
Turkey,31637.53,86686206,7.937949995576651,2742537442911.1797,4.500202569982298,77.8,80.8,74.9,76.9,67446349.0,114.0
Turkmenistan,16434.14,7091984,6.850767747131989,116550657933.76,4.21574698234361,70.3,73.2,67.1,46.5,3540511.0,16.0
Uganda,2684.9204,45910886,7.661915673972688,123267074403.4744,3.4289314146712537,68.7,71.6,65.7,30.0,15430672.0,257.0
Ukraine,17846.408,44298591,7.646389912889965,790570728811.1279,4.251550817492471,74.9,79.5,70.0,76.8,29923619.0,67.0
United Arab Emirates,67401.125,9789001,6.990738372873096,659789680026.125,4.828667145455419,83.2,84.4,82.4,81.1,9207088.0,136.0
United Kingdom,52872.195,67668749,7.830388147705297,3577795292534.055,4.7232273406037075,81.6,83.4,79.7,84.5,58798650.0,287.0
United States,71318.305,340161392,8.531685020055932,24259733903880.56,4.853201012883933,79.6,82.1,77.2,82.8,287421363.0,38.0
Uruguay,29441.477,3396643,6.531049903279341,100002186761.711,4.468959593602265,78.5,82.2,74.6,0.0,0.0,19.0
Uzbekistan,9247.644,34243658,7.534580150992261,316673158441.752,3.966031102671236,72.7,75.7,69.7,48.1,17835913.0,87.0
Vanuatu,3135.8367,305836,5.48548860495183,959051752.9812,3.4963534385355306,71.8,74.3,69.7,25.4,85244.0,27.0
Vietnam,12048.902,98935054,7.995350195150873,1192058770010.708,4.080947472050467,74.9,79.5,70.2,41.4,42039428.0,328.0
Zambia,3503.035,19603556,7.292334857637082,68671942792.46,3.5444444765214977,66.7,69.1,64.3,46.8,10256668.0,29.0
Zimbabwe,3184.7854,15797165,7.198579154338664,50310580453.39101,3.5030801736460084,63.3,65.6,60.8,37.9,6429761.0,44.0
